Formula,pbe_band_gap,url
Bi2Br2O2, 2.41 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e77
Cl2Ru1, 2.41 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bb0
Ga2S2, 2.40 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c62
Br2In2O2, 2.40 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ea8
I6Sc2, 2.39 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d01
Bi2I6, 2.39 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a6c
Cl6Tl2, 2.38 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bf9
Cl6Rh2, 2.38 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bee
Cl2Sn1, 2.38 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bb5
Er2I2Se2, 2.37 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418faf
I2Pb1, 2.34 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418cc0
Br2Ge1, 2.34 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a8c
Al2Cl2S2, 2.34 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e56
Cl2Hf2N2, 2.33 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b93
Ag2Bi2O4, 2.29 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e42
Ge1Se1, 2.28 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c70
B1P1S4, 2.28 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e73
Pb1S2, 2.28 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db5
Br6Ir2, 2.28 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ad9
Br2Mn1, 2.28 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a9b
Al2Br2S2, 2.27 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e52
Br6Ti2, 2.25 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af5
S1Sn1, 2.25 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418df1
H2Ni1O2, 2.24 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c8a
As2I6, 2.24 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a31
Al2I2O2, 2.23 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e5b
I6Sb2, 2.23 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cff
As2I6, 2.22 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a30
O2Pt1, 2.21 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d7d
